team,matches_played,goalkeeper_saves,clean_sheets,goalkeeper_saves_per_match,clean_sheet_group
ALGERIA,4,9,0,2.25,ZERO
ARGENTINA,8,20,2,2.5,ONE OR MORE
AUSTRALIA,4,14,2,3.5,ONE OR MORE
AUSTRIA,4,15,0,3.75,ZERO
BELGIUM,6,19,1,3.16666666666667,ONE OR MORE
BOSNIA,4,8,0,2.0,ZERO
BRAZIL,5,15,2,3.0,ONE OR MORE
CABO VERDE,4,18,2,4.5,ONE OR MORE
CANADA,5,7,2,1.4,ONE OR MORE
COLOMBIA,5,7,4,1.4,ONE OR MORE
CONGO DR,4,15,0,3.75,ZERO
CROATIA,4,12,1,3.0,ONE OR MORE
CURACAO,3,21,1,7.0,ONE OR MORE
CZECHIA,3,11,0,3.66666666666667,ZERO
EGYPT,5,14,0,2.8,ZERO
ENGLAND,8,25,2,3.125,ONE OR MORE
EQUADOR,4,12,1,3.0,ONE OR MORE
FRANCE,8,15,4,1.875,ONE OR MORE
GERMANY,4,7,0,1.75,ZERO
GHANA,4,16,2,4.0,ONE OR MORE
HAITI,3,13,0,4.33333333333333,ZERO
IRAN,3,15,1,5.0,ONE OR MORE
IRAQ,3,10,0,3.33333333333333,ZERO
IVORY COAST,4,11,2,2.75,ONE OR MORE
JAPAN,4,17,1,4.25,ONE OR MORE
JORDAN,3,8,0,2.66666666666667,ZERO
KOREA REPUBLIC,3,11,0,3.66666666666667,ZERO
MEXICO,5,8,4,1.6,ONE OR MORE
MOROCCO,6,19,2,3.16666666666667,ONE OR MORE
NETHERLANDS,4,17,0,4.25,ZERO
NEW ZEALAND,3,11,0,3.66666666666667,ZERO
NORWAY,6,22,0,3.66666666666667,ZERO
PANAMA,3,9,0,3.0,ZERO
PARAGUAY,5,28,2,5.6,ONE OR MORE
PORTUGAL,5,20,2,4.0,ONE OR MORE
QATAR,3,16,0,5.33333333333333,ZERO
SAUDI ARABIA,3,17,1,5.66666666666667,ONE OR MORE
SCOTLAND,3,9,1,3.0,ONE OR MORE
SENEGAL,4,13,1,3.25,ONE OR MORE
SOUTH AFRICA,4,14,1,3.5,ONE OR MORE
SPAIN,8,14,7,1.75,ONE OR MORE
SWEDEN,4,16,0,4.0,ZERO
SWITZERLAND,6,20,2,3.33333333333333,ONE OR MORE
TUNISIA,3,7,0,2.33333333333333,ZERO
TURKIYE,3,8,0,2.66666666666667,ZERO
URUGUAY,3,4,0,1.33333333333333,ZERO
USA,5,10,2,2.0,ONE OR MORE
UZBEKISTAN,3,6,0,2.0,ZERO
